--- STARTED NEW SESSION ---
Frame 0085 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.36ms | Contrast: 0.79ms | Blur: 0.07ms | HSV Conv: 0.09ms | Total Preprocess: 1.67ms
Frame 0086 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.88ms | Blur: 0.26ms | HSV Conv: 0.10ms | Total Preprocess: 1.99ms
Frame 0087 -> Crop: 0.05ms | Resize: 0.40ms | Bright: 0.39ms | Contrast: 0.87ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.88ms
Frame 0088 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.37ms | Contrast: 0.89ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.81ms
Frame 0089 -> Crop: 0.05ms | Resize: 0.42ms | Bright: 0.36ms | Contrast: 0.82ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.80ms
Frame 0090 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.38ms | Contrast: 0.84ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.75ms
Frame 0091 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.39ms | Contrast: 0.88ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.84ms
Frame 0092 -> Crop: 0.05ms | Resize: 0.43ms | Bright: 0.36ms | Contrast: 0.96ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.96ms
Frame 0093 -> Crop: 0.05ms | Resize: 0.42ms | Bright: 0.38ms | Contrast: 0.85ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 1.86ms
Frame 0094 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.35ms | Contrast: 0.87ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.77ms
Frame 0095 -> Crop: 0.05ms | Resize: 0.46ms | Bright: 0.38ms | Contrast: 0.84ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.89ms
Frame 0096 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.39ms | Contrast: 0.86ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 1.80ms
Frame 0097 -> Crop: 0.04ms | Resize: 0.29ms | Bright: 0.33ms | Contrast: 0.74ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.56ms
Frame 0098 -> Crop: 0.05ms | Resize: 0.38ms | Bright: 0.38ms | Contrast: 0.90ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.88ms
Frame 0099 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.39ms | Contrast: 0.84ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.76ms
Frame 0100 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.48ms | Contrast: 1.05ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 2.07ms
Frame 0101 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.41ms | Contrast: 0.84ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.79ms
Frame 0102 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.88ms | Blur: 0.20ms | HSV Conv: 0.10ms | Total Preprocess: 1.94ms
Frame 0103 -> Crop: 0.05ms | Resize: 0.29ms | Bright: 0.36ms | Contrast: 0.77ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.65ms
Frame 0104 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.37ms | Contrast: 0.83ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.74ms
Frame 0105 -> Crop: 0.05ms | Resize: 0.42ms | Bright: 0.43ms | Contrast: 0.88ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.96ms
Frame 0106 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.39ms | Contrast: 0.98ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.94ms
Frame 0107 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.49ms | Contrast: 0.89ms | Blur: 0.06ms | HSV Conv: 0.12ms | Total Preprocess: 1.92ms
Frame 0108 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.39ms | Contrast: 0.90ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.85ms
Frame 0109 -> Crop: 0.05ms | Resize: 0.34ms | Bright: 0.38ms | Contrast: 0.89ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.82ms
